UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
193292,74,73,75,15,17,14,15,17,14,0,0,0
193308,49,43,53,59,67,55,52,61,47,7,6,8
193353,90,86,92,14,13,15,14,13,15,0,0,0
193380,16,38,14,100,100,100,0,0,0,100,100,100
193399,93,90,94,13,17,12,13,17,12,0,0,0
193584,76,71,77,17,18,16,17,18,16,0,0,0
193609,100,100,100,22,17,33,22,17,33,0,0,0
193654,69,66,70,21,21,20,20,21,20,0,0,0
193900,21,22,20,40,42,38,39,41,38,0,0,0
193973,92,90,94,18,18,18,18,18,18,0,0,0
194091,75,74,75,9,10,7,8,10,7,0,1,0
194116,67,65,68,23,24,22,11,6,12,11,18,10
194161,97,98,97,52,59,47,46,44,47,7,15,0
194189,100,100,,100,100,,100,100,,0,0,
194310,83,80,84,9,10,8,9,10,8,0,0,0
194392,67,67,68,20,23,17,20,23,17,0,0,0
194499,30,30,30,55,55,55,55,55,55,0,0,0
194569,29,33,25,50,100,0,50,100,0,0,0,0
194578,66,61,68,15,16,14,14,16,14,0,0,0
194657,98,98,,100,100,,100,100,,0,0,
194693,100,100,,100,100,,100,100,,0,0,
194718,100,100,,100,100,,100,100,,0,0,
194736,80,80,,100,100,,100,100,,0,0,
194763,98,98,,93,93,,93,93,,0,0,
194824,57,57,57,15,16,14,15,16,14,0,0,0
194958,76,74,77,20,22,19,20,22,19,0,0,0
195003,74,72,76,19,21,17,19,21,17,0,0,0
195030,35,32,39,20,20,19,20,20,19,0,0,0
195128,74,65,78,20,18,21,20,18,21,0,0,0
195164,76,78,75,21,23,19,21,23,19,0,0,0
195173,85,82,86,16,17,15,16,17,15,0,0,0
195191,73,100,70,75,100,71,13,0,14,63,100,57
195216,47,42,53,20,21,20,20,21,20,0,0,0
195234,82,78,84,9,9,9,9,9,9,0,0,0
195243,87,86,88,15,17,13,15,17,13,0,0,0
195289,100,,100,100,,100,100,,100,0,,0
195304,55,53,55,19,20,19,19,20,19,0,0,0
195438,100,100,,100,100,,100,100,,0,0,
195474,81,79,82,13,15,12,13,15,12,0,0,0
195526,32,30,34,21,24,20,21,24,20,0,0,0
195544,71,69,72,20,21,20,20,21,19,0,0,1
195702,33,0,50,0,,0,0,,0,0,,0
195720,68,67,70,21,22,20,21,22,20,0,0,0
195809,75,73,76,10,11,9,10,11,9,0,0,0
196006,72,79,63,24,27,18,23,27,18,0,0,0
196015,83,83,83,22,23,21,22,23,21,0,0,0
196024,65,66,64,20,24,16,20,24,16,0,0,0
196033,80,74,85,24,24,25,24,23,24,0,0,0
196042,60,65,55,36,39,33,35,38,32,1,1,1
196051,77,74,79,19,22,17,19,22,16,0,0,1
196060,57,58,57,18,19,18,18,18,18,0,0,0
196079,43,43,43,18,17,18,17,17,18,0,0,0
196088,67,70,64,22,23,20,22,23,20,0,0,0
196097,49,50,48,18,20,17,18,20,17,0,0,0
196103,60,56,64,26,31,22,26,31,22,0,0,0
196112,73,73,73,16,16,16,16,16,15,0,0,0
196121,58,57,59,20,21,19,20,21,19,0,0,0
196130,80,76,83,15,17,14,15,17,14,0,0,0
196149,52,47,56,20,21,19,20,21,19,0,0,0
196158,72,70,73,18,19,18,18,19,18,0,0,0
196167,61,61,62,14,14,14,14,14,14,0,0,0
196176,62,63,62,18,18,18,18,18,18,0,0,0
196185,63,58,66,20,19,20,20,19,20,0,0,0
196194,69,68,70,15,16,14,15,16,14,0,0,0
196200,72,69,73,17,17,17,17,17,17,0,0,0
196219,74,69,77,19,21,18,19,21,18,0,0,0
196237,53,52,54,17,19,16,17,19,16,0,0,0
196246,61,64,59,16,16,17,16,16,17,0,0,0
196291,73,73,73,32,34,26,32,33,26,0,0,0
196413,69,66,71,16,17,15,16,17,15,0,0,0
196431,84,84,,89,89,,89,89,,0,0,
196440,100,100,,100,100,,100,100,,0,0,
196583,71,71,,60,60,,60,60,,0,0,
196592,76,75,77,46,56,42,39,48,35,7,8,7
196653,53,62,52,37,31,38,35,31,35,3,0,3
196866,41,42,40,15,16,13,15,16,13,0,0,0
197027,24,24,24,66,68,57,66,68,57,0,0,0
197036,9,10,7,83,83,81,83,83,81,0,0,0
197045,86,84,88,19,21,17,19,21,17,0,0,0
197133,25,28,23,28,25,29,28,25,29,0,0,0
197142,79,81,77,42,53,34,40,49,34,2,4,1
197151,72,72,72,18,18,18,18,18,18,0,0,0
197197,70,62,76,20,25,18,20,25,18,0,0,0
197221,21,22,18,82,84,75,82,84,75,0,0,0
197230,64,77,90,10,11,9,9,11,9,0,0,0
197285,88,85,91,30,30,30,30,30,30,0,0,0
197647,56,56,,74,74,,74,74,,0,0,
197692,70,70,,88,88,,88,88,,0,0,
197708,67,61,75,57,60,54,56,59,54,1,2,0
197735,87,87,,100,100,,100,100,,0,0,
197744,50,50,,100,100,,100,100,,0,0,
197869,80,74,84,27,27,27,27,27,27,0,0,0
197911,42,42,43,17,24,13,17,24,13,0,0,0
197984,80,77,83,21,23,20,21,23,20,0,0,0
197993,73,,73,3,,3,3,,3,0,,0
198066,45,44,47,17,19,14,16,19,13,0,0,1
198109,35,,35,78,,78,43,,43,35,,35
198136,81,81,81,17,19,15,16,18,15,1,1,0
198215,52,51,53,22,26,18,21,25,17,0,0,0
198303,67,69,66,14,17,11,14,17,11,0,0,0
198385,20,21,20,46,46,46,46,46,46,0,0,0
198419,8,8,8,51,52,51,51,52,51,0,0,0
198464,88,86,89,23,25,22,23,24,22,1,1,1
198507,75,69,78,19,23,17,19,23,16,0,0,0
