INSTNM,STABBR,CNTLAFFI,IS_R1,COREXP,ENRTOT
North Florida College,FL,1.0,0,19939224.0,1268.0
University of North Florida,FL,1.0,0,311507156.0,16154.0
Nova Southeastern University,FL,3.0,1,716313832.0,20910.0
Northwest Florida State College,FL,1.0,0,70170102.0,4752.0
Palm Beach Atlantic University,FL,4.0,0,85934214.0,4147.0
Palm Beach State College,FL,1.0,0,230924669.0,25916.0
Pasco-Hernando State College,FL,1.0,0,101526479.0,9410.0
Pensacola State College,FL,1.0,0,109191395.0,9491.0
Polk State College,FL,1.0,0,108663244.0,10318.0
Saint Vincent de Paul Regional Seminary,FL,4.0,0,7364308.0,143.0
Ringling College of Art and Design,FL,3.0,0,80868232.0,1666.0
Rollins College,FL,3.0,0,123018000.0,3046.0
Saint Leo University,FL,4.0,0,98459650.0,9692.0
St Petersburg College,FL,1.0,0,239070609.0,23936.0
Santa Fe College,FL,1.0,0,141053254.0,12758.0
Seminole State College of Florida,FL,1.0,0,136583245.0,15390.0
St. John Vianney College Seminary,FL,4.0,0,2643869.0,79.0
Saint Johns River State College,FL,1.0,0,57373687.0,7927.0
South Florida State College,FL,1.0,0,54570728.0,2880.0
University of South Florida,FL,1.0,1,1848747824.0,49622.0
St. Thomas University,FL,4.0,0,73898271.0,7652.0
Stetson University,FL,3.0,0,132487638.0,3775.0
Southeastern University,FL,4.0,0,88317625.0,11510.0
Tallahassee State College,FL,1.0,0,134364496.0,12455.0
Talmudic College of Florida,FL,4.0,0,3617526.0,28.0
The University of Tampa,FL,3.0,0,225085095.0,11433.0
Trinity Baptist College,FL,4.0,0,4454684.0,427.0
Trinity College of Florida,FL,4.0,0,3043168.0,152.0
Valencia College,FL,1.0,0,391041012.0,47425.0
Warner University,FL,4.0,0,18359726.0,900.0
Webber International University,FL,3.0,0,18495745.0,878.0
Rasmussen University-Florida,FL,2.0,0,86571698.0,3121.0
University of West Florida,FL,1.0,0,245247344.0,14822.0
Abraham Baldwin Agricultural College,GA,1.0,0,51064451.0,3825.0
Agnes Scott College,GA,4.0,0,50495078.0,1079.0
Albany State University,GA,1.0,0,105800808.0,6768.0
Andrew College,GA,4.0,0,8114607.0,496.0
Point University,GA,4.0,0,23008206.0,2260.0
Atlanta Metropolitan State College,GA,1.0,0,21459355.0,1549.0
Atlanta's John Marshall Law School,GA,3.0,0,15873804.0,379.0
Clark Atlanta University,GA,4.0,0,121744485.0,4252.0
Berry College,GA,3.0,0,95463306.0,2484.0
Beulah Heights University,GA,4.0,0,4680762.0,359.0
Brenau University,GA,3.0,0,55445601.0,2436.0
Brewton-Parker College,GA,4.0,0,11564383.0,1338.0
College of Coastal Georgia,GA,1.0,0,37530661.0,3468.0
Clayton  State University,GA,1.0,0,81569201.0,6163.0
Columbia Theological Seminary,GA,4.0,0,16279572.0,127.0
Columbus State University,GA,1.0,0,110578875.0,7913.0
Covenant College,GA,4.0,0,27530224.0,1100.0
Dalton State College,GA,1.0,0,47815961.0,5135.0
South University-Savannah,GA,2.0,0,17476711.0,716.0
East Georgia State College,GA,1.0,0,21152388.0,1820.0
Emmanuel University,GA,4.0,0,15692392.0,950.0
Emory University,GA,4.0,1,2655914000.0,15175.0
Georgia Highlands College,GA,1.0,0,48995910.0,5382.0
Fort Valley State University,GA,1.0,0,88849529.0,2897.0
Georgia Institute of Technology-Main Campus,GA,1.0,1,2552406230.0,53363.0
Georgia Southwestern State University,GA,1.0,0,44752421.0,3700.0
Georgia College & State University,GA,1.0,0,150312066.0,7097.0
Georgia Southern University,GA,1.0,0,443531751.0,27423.0
